NC_000911.1	Type	Start	End	Locus_tag	Old_locus_tag	Product	Strand
NC_000911.1	CDS	87536	87910	SGL_RS02255	sll1052	sulfite exporter TauE/SafE family protein	-
NC_000911.1	CDS	88017	88661	SGL_RS02260	sll1051	phycocyanobilin lyase	-
NC_000911.1	CDS	88818	90512	SGL_RS02265	sll1049	transglutaminase family protein	-
NC_000911.1	CDS	90620	91411	SGL_RS02270	slr1127	hypothetical protein	+
NC_000911.1	CDS	91517	92482	SGL_RS02275	slr1128	SPFH/Band 7/PHB domain protein	+
NC_000911.1	CDS	93128	95152	SGL_RS02280	slr1129	ribonuclease E/G-like protein	+
NC_000911.1	CDS	95236	95808	SGL_RS02285	slr1130	ribonuclease HII	+
NC_000911.1	CDS	95818	96228	SGL_RS02290	sll1045	8-oxo-dGTP diphosphatase MutT	-
NC_000911.1	CDS	96325	98481	SGL_RS02295	sll1043	polyribonucleotide nucleotidyltransferase	-
NC_000911.1	CDS	98609	99199	SGL_RS02300	sll0716	S26 family signal peptidase	-
NC_000911.1	CDS	99402	100793	SGL_RS02305	slr0721	NAD-dependent malic enzyme	+
NC_000911.1	CDS	100794	101771	SGL_RS02310	sll0712	cysteine synthase A	-
NC_000911.1	CDS	101884	102831	SGL_RS02315	sll0711	4-diphosphocytidyl-2C-methyl-D-erythritol	-
NC_000911.1	CDS	102930	105110	SGL_RS02320	sll0710	hypothetical protein	-
NC_000911.1	CDS	105151	106539	SGL_RS02325	sll0709	restriction endonuclease LlaI	-
NC_000911.1	pseudoCDS	106858	107208	SGL_RS18640	SGL_RS18640	IS5/IS1182 family transposase	+
NC_000911.1	CDS	107471	108325	SGL_RS02330	sll0708	ribosomal RNA small subunit methyltransferase A	-
NC_000911.1	CDS	108290	109201	SGL_RS02335	slr0722	ribosomal RNA small subunit methyltransferase E	+
NC_000911.1	CDS	109222	110313	SGL_RS02340	slr0723	hypothetical protein	+
NC_000911.1	CDS	110392	110724	SGL_RS02345	slr0724	type II toxin-antitoxin system PrlF family	+
NC_000911.1	CDS	110766	111224	SGL_RS02350	slr0725	type II toxin-antitoxin system YhaV family	+
NC_000911.1	CDS	111585	112559	SGL_RS02355	slr0727	hypothetical protein	+
NC_000911.1	CDS	113025	114188	SGL_RS02360	slr0728	O-antigen ligase family protein	+
NC_000911.1	CDS	114319	114624	SGL_RS02365	slr0729	thylakoid membrane protein	+
NC_000911.1	CDS	114874	115272	SGL_RS02370	slr0730	DUF3119 domain-containing protein	+
NC_000911.1	CDS	115269	116477	SGL_RS02375	slr0731	DUF3086 domain-containing protein	+
NC_000911.1	CDS	116518	117693	SGL_RS02380	sll0704	cysteine desulfurase	-
NC_000911.1	CDS	117869	118336	SGL_RS02385	slr0732	hypothetical protein	+
NC_000911.1	CDS	118333	119532	SGL_RS02390	sll0703	NAD(P)/FAD-dependent oxidoreductase	-
NC_000911.1	CDS	119570	119962	SGL_RS02395	sll0702	hypothetical protein	-
NC_000911.1	CDS	120298	120537	SGL_RS02400	slr1006	hypothetical protein	-
NC_000911.1	CDS	120719	121660	SGL_RS02405	slr0733	tyrosine recombinase XerC	+
NC_000911.1	CDS	121706	121990	SGL_RS02410	ssl1326	CopG family transcriptional regulator	-
NC_000911.1	CDS	122287	123405	SGL_RS02415	slr0734	FAD-binding oxidoreductase	+
NC_000911.1	pseudoCDS	123501	124348	SGL_RS18645	SGL_RS18645	IS630 family transposase	-
NC_000911.1	CDS	124452	126443	SGL_RS02430	sll0698	PAS domain-containing sensor histidine kinase	-
NC_000911.1	CDS	126639	127064	SGL_RS02435	slr0737	photosystem I reaction center subunit II	+
NC_000911.1	CDS	127186	128712	SGL_RS02440	slr0738	anthranilate synthase component I	+
NC_000911.1	CDS	128802	129710	SGL_RS02445	slr0739	polyprenyl synthetase family protein	+
NC_000911.1	CDS	129791	130186	SGL_RS02450	slr0740	hypothetical protein	+
NC_000911.1	CDS	130167	131039	SGL_RS02455	sll0696	CPBP family intramembrane metalloprotease	-
NC_000911.1	CDS	131116	131790	SGL_RS02460	slr0741	phosphate-specific transport system accessory	+
NC_000911.1	CDS	131877	132407	SGL_RS02465	slr0742	ribosome maturation factor RimP	+
NC_000911.1	CDS	132483	133859	SGL_RS02470	slr0743	transcription termination/antitermination	+
NC_000911.1	CDS	133923	134177	SGL_RS02475	slr0743a	DUF448 domain-containing protein	+
NC_000911.1	CDS	134437	137442	SGL_RS02480	slr0744	translation initiation factor IF-2	+
NC_000911.1	CDS	137444	138112	SGL_RS02485	slr0236	glutathione S-transferase family protein	+
NC_000911.1	CDS	138295	140535	SGL_RS02490	slr0237	glycogen debranching enzyme GlgX	+
NC_000911.1	CDS	140585	141007	SGL_RS02495	slr0238	hypothetical protein	+
NC_000911.1	pseudoCDS	141123	141428	SGL_RS02500	ssl0426	IS630 family transposase	-
NC_000911.1	CDS	141648	142442	SGL_RS02505	slr0239	precorrin-4 C(11)-methyltransferase	+
NC_000911.1	CDS	142559	142981	SGL_RS02510	slr0240	hypothetical protein	+
NC_000911.1	CDS	142981	143826	SGL_RS02515	slr0241	M56 family peptidase	+
NC_000911.1	CDS	144061	144543	SGL_RS02520	slr0242	thioredoxin-dependent thiol peroxidase	+
NC_000911.1	CDS	144554	145081	SGL_RS02525	slr0243	hypothetical protein	+
NC_000911.1	CDS	145164	145529	SGL_RS02530	sll0230	hypothetical protein	-
NC_000911.1	CDS	145538	145762	SGL_RS02535	SGL_RS02535	hypothetical protein	-
NC_000911.1	CDS	145761	146615	SGL_RS02540	slr0244	universal stress protein	+
NC_000911.1	CDS	146724	146831	SGL_RS18650	SGL_RS18650	photosystem II reaction center protein M	-
NC_000911.1	CDS	146980	147894	SGL_RS02545	slr0245	histone deacetylase	+
NC_000911.1	CDS	148022	148942	SGL_RS02550	sll0228	agmatinase	-
NC_000911.1	CDS	148943	149683	SGL_RS02555	sll0227	peptidyl-prolyl cis-trans isomerase	-
NC_000911.1	CDS	149889	150455	SGL_RS02560	sll0226	photosystem I assembly protein Ycf4	-
NC_000911.1	CDS	150594	152132	SGL_RS02565	sll0225	hypothetical protein	-
NC_000911.1	CDS	152154	153050	SGL_RS02570	sll0224	amino acid ABC transporter substrate-binding	-
NC_000911.1	ncRNA	153167	153599	SGL_RS18395	SGL_RS18395	RNase P RNA component class A	+
NC_000911.1	CDS	153622	153996	SGL_RS02580	slr0249	DUF1818 domain-containing protein	+
NC_000911.1	CDS	154143	154679	SGL_RS02585	slr0250	hypothetical protein	+
NC_000911.1	CDS	154733	155461	SGL_RS02590	slr0251	LPS export ABC transporter ATP-binding protein	+
NC_000911.1	CDS	155473	156258	SGL_RS02595	slr0252	precorrin-6A reductase	+
NC_000911.1	CDS	156391	156651	SGL_RS02600	ssr0390	photosystem I reaction center subunit PsaK 1	+
NC_000911.1	CDS	156741	157013	SGL_RS02605	ssl0410	hypothetical protein	-
NC_000911.1	CDS	157050	158615	SGL_RS02610	sll0223	NAD(P)H-quinone oxidoreductase subunit 2	-
NC_000911.1	CDS	158757	159737	SGL_RS02615	sll0222	alkaline phosphatase	-
NC_000911.1	CDS	160004	160093	SGL_RS18655	SGL_RS18655	Cytochrome b6-f complex subunit 8	-
NC_000911.1	CDS	160258	161058	SGL_RS02620	slr0254	RDD family protein	+
NC_000911.1	CDS	161088	161642	SGL_RS02625	sll0221	peroxiredoxin	-
NC_000911.1	CDS	161768	163663	SGL_RS02630	sll0220	glutamine--fructose-6-phosphate	-
NC_000911.1	CDS	164037	165821	SGL_RS02635	sll0219	flavin oxidoreductase	-
NC_000911.1	CDS	165871	166389	SGL_RS02640	sll0218	hypothetical protein	-
NC_000911.1	CDS	166416	168152	SGL_RS02645	sll0217	diflavin flavoprotein A	-
NC_000911.1	CDS	168289	168486	SGL_RS02650	SGL_RS02650	hypothetical protein	-
NC_000911.1	CDS	168533	169921	SGL_RS02655	slr0257	S41 family peptidase	+
NC_000911.1	CDS	169934	170566	SGL_RS02660	sll0216	threonylcarbamoyl-AMP synthase	-
NC_000911.1	CDS	170572	171840	SGL_RS02665	slr1411	TIGR00299 family protein	+
NC_000911.1	CDS	171939	172883	SGL_RS02670	sll1327	ATP synthase subunit gamma	-
NC_000911.1	CDS	173014	174525	SGL_RS02675	sll1326	ATP synthase subunit alpha	-
NC_000911.1	CDS	174586	175143	SGL_RS02680	sll1325	ATP synthase subunit delta	-
NC_000911.1	CDS	175143	175682	SGL_RS02685	sll1324	ATP synthase subunit B	-
NC_000911.1	CDS	175708	176139	SGL_RS02690	sll1323	ATP synthase subunit b'	-
NC_000911.1	CDS	176256	176501	SGL_RS02695	ssl2615	ATP synthase subunit C	-
NC_000911.1	CDS	176693	177445	SGL_RS02700	sll1322	F0F1 ATP synthase subunit A	-
NC_000911.1	CDS	177592	178038	SGL_RS02705	sll1321	ATP synthase subunit I	-
NC_000911.1	CDS	178237	179682	SGL_RS02710	slr1413	DUF697 domain-containing protein	+
NC_000911.1	CDS	179734	181047	SGL_RS02715	slr1414	sensor histidine kinase	+
NC_000911.1	CDS	181073	182221	SGL_RS02720	slr1415	DUF4350 domain-containing protein	+
NC_000911.1	CDS	182354	183298	SGL_RS02725	slr1416	MoxR family ATPase	+
NC_000911.1	CDS	183493	183849	SGL_RS02730	slr1417	iron-sulfur cluster assembly accessory protein	+
NC_000911.1	CDS	183935	184924	SGL_RS02735	sll1319	EamA family transporter	-
NC_000911.1	CDS	184968	185636	SGL_RS02740	sll1318	hypothetical protein	-
NC_000911.1	CDS	185772	186554	SGL_RS02745	sll1041	ABC transporter ATP-binding protein	-
NC_000911.1	CDS	186601	188898	SGL_RS02750	sll1040	mechanosensitive ion channel family protein	-
NC_000911.1	CDS	189128	189715	SGL_RS02755	slr1093	2-amino-4-hydroxy-6-	+
NC_000911.1	tRNA	189880	189953	SGL_RS02760	ST6803t01	tRNA-Pro	-
NC_000911.1	CDS	190033	190818	SGL_RS02765	slr1094	DUF429 domain-containing protein	+
NC_000911.1	CDS	190815	191954	SGL_RS02770	sll1039	alpha-E domain-containing protein	-
NC_000911.1	CDS	192136	192783	SGL_RS02775	slr1095	Uma2 family endonuclease	+
NC_000911.1	CDS	192882	194306	SGL_RS02780	slr1096	dihydrolipoyl dehydrogenase	+
NC_000911.1	CDS	194310	194801	SGL_RS02785	slr1097	DUF1817 domain-containing protein	+
NC_000911.1	CDS	194877	195617	SGL_RS02790	slr1098	HEAT repeat domain-containing protein	+
NC_000911.1	CDS	195685	196305	SGL_RS02795	slr1099	aromatic acid decarboxylase	+
NC_000911.1	CDS	196611	196991	SGL_RS02800	slr1100	hypothetical protein	+
NC_000911.1	CDS	197072	197557	SGL_RS02805	slr1101	universal stress protein	+
NC_000911.1	CDS	197624	200185	SGL_RS02810	slr1102	PAS domain S-box protein	+
NC_000911.1	CDS	200405	202525	SGL_RS02815	slr1103	diguanylate cyclase	+
NC_000911.1	CDS	202554	204395	SGL_RS02820	slr1104	hypothetical protein	+
NC_000911.1	CDS	204604	206397	SGL_RS02825	slr1105	translational GTPase TypA	+
NC_000911.1	CDS	206650	206853	SGL_RS02830	SGL_RS02830	hypothetical protein	-
NC_000911.1	CDS	206863	208338	SGL_RS02835	sll1037	hypothetical protein	-
NC_000911.1	CDS	208549	209427	SGL_RS02840	sll1036	MBL fold metallo-hydrolase	-
NC_000911.1	CDS	209527	209826	SGL_RS02845	ssl2009	thylakoid membrane protein	-
NC_000911.1	CDS	209896	210546	SGL_RS02850	sll1035	uracil phosphoribosyltransferase	-
NC_000911.1	CDS	210781	211629	SGL_RS02855	slr1106	prohibitin family protein	+
NC_000911.1	CDS	211734	213068	SGL_RS02860	slr1107	hypothetical protein	+
NC_000911.1	CDS	213031	215037	SGL_RS02865	sll1033	serine/threonine phosphatase	-
NC_000911.1	CDS	215504	216229	SGL_RS02870	sll1032	hypothetical protein	-
NC_000911.1	CDS	216264	218273	SGL_RS02875	sll1031	carbon dioxide concentrating mechanism protein	-
NC_000911.1	CDS	218407	218709	SGL_RS02880	sll1030	carbon dioxide concentrating mechanism protein	-
NC_000911.1	CDS	218742	219077	SGL_RS02885	sll1028	carbon dioxide concentrating mechanism protein	-
NC_000911.1	CDS	219206	219517	SGL_RS02890	sll1029	carbon dioxide concentrating mechanism protein	-
NC_000911.1	CDS	219979	221463	SGL_RS02895	sll1027	FAD-dependent oxidoreductase	-
NC_000911.1	CDS	221742	223067	SGL_RS02900	slr1109	ankyrin repeat domain-containing protein	+
NC_000911.1	CDS	223018	223596	SGL_RS02905	slr1110	DUF1092 domain-containing protein	+
NC_000911.1	CDS	223673	224806	SGL_RS02910	slr1772	linear amide C-N hydrolase	+
NC_000911.1	CDS	224897	226363	SGL_RS02915	sll1686	TM0106 family RecB-like putative nuclease	-
NC_000911.1	CDS	227123	227899	SGL_RS02920	slr1773	DUF2092 domain-containing protein	+
NC_000911.1	CDS	227943	228812	SGL_RS02925	slr1774	hypothetical protein	+
NC_000911.1	CDS	228866	230566	SGL_RS02930	slr1776	SulP family inorganic anion transporter	+
NC_000911.1	CDS	230658	231839	SGL_RS02935	sll1685	CemA-like protein	-
NC_000911.1	CDS	232008	234038	SGL_RS02940	slr1777	magnesium-chelatase subunit ChlD	+
NC_000911.1	CDS	234120	234308	SGL_RS02945	SGL_RS02945	hypothetical protein	+
NC_000911.1	CDS	234305	234838	SGL_RS02950	slr1778	hypothetical protein	+
NC_000911.1	CDS	234905	236356	SGL_RS02955	sll1683	aminotransferase class V-fold PLP-dependent	-
NC_000911.1	CDS	236356	237438	SGL_RS02960	sll1682	alanine dehydrogenase	-
NC_000911.1	CDS	237600	238325	SGL_RS02965	slr1779	pyridoxine 5'-phosphate synthase	+
NC_000911.1	CDS	238344	238745	SGL_RS02970	slr1780	Ycf54-like protein	+
NC_000911.1	CDS	238804	240327	SGL_RS02975	sll1681	hypothetical protein	-
NC_000911.1	CDS	240299	240829	SGL_RS02980	sll1680	peptide-methionine (R)-S-oxide reductase	-
NC_000911.1	CDS	240863	242047	SGL_RS02985	sll1679	serine protease	-
NC_000911.1	CDS	242399	243094	SGL_RS02990	slr1783	DNA-binding response regulator	+
NC_000911.1	CDS	243158	244144	SGL_RS02995	slr1784	gfo/Idh/MocA family oxidoreductase	+
NC_000911.1	CDS	244160	244708	SGL_RS03000	sll1678	spore maturation protein	-
NC_000911.1	CDS	244783	245436	SGL_RS03005	sll1677	spore maturation protein	-
NC_000911.1	CDS	245502	247019	SGL_RS03010	sll1676	4-alpha-glucanotransferase	-
NC_000911.1	CDS	247117	247569	SGL_RS03015	sll1675	VOC family protein	-
NC_000911.1	CDS	247619	248713	SGL_RS03020	slr1787	thiamine-phosphate kinase	+
NC_000911.1	CDS	249062	250117	SGL_RS03025	slr1788	hypothetical protein	+
NC_000911.1	CDS	250160	251641	SGL_RS03030	slr1789	hypothetical protein	+
NC_000911.1	CDS	251758	253116	SGL_RS03035	sll1673	diguanylate cyclase	-
NC_000911.1	CDS	253125	255629	SGL_RS03040	sll1672	sensor histidine kinase	-
NC_000911.1	CDS	255823	256305	SGL_RS03045	sll1671	GNAT family N-acetyltransferase	-
NC_000911.1	CDS	256463	256699	SGL_RS03050	SGL_RS03050	hypothetical protein	-
NC_000911.1	CDS	256698	257279	SGL_RS03055	slr1790	protoporphyrinogen oxidase HemJ	+
NC_000911.1	CDS	257426	258175	SGL_RS03060	slr1791	phosphoadenosine phosphosulfate reductase	+
NC_000911.1	CDS	258227	259363	SGL_RS03065	sll1670	HrcA family transcriptional regulator	-
NC_000911.1	tRNA	259560	259644	SGL_RS03070	ST6803t02	tRNA-Ser	-
NC_000911.1	CDS	259702	260271	SGL_RS03075	sll1669	shikimate kinase	-
NC_000911.1	CDS	260463	261638	SGL_RS03080	slr1793	transaldolase	+
NC_000911.1	CDS	261863	262060	SGL_RS03085	ssr2998	DUF2862 domain-containing protein	+
NC_000911.1	CDS	262177	263265	SGL_RS03090	slr1794	arsenic-transporting ATPase	+
NC_000911.1	CDS	263321	263965	SGL_RS03095	slr1795	peptide-methionine (S)-S-oxide reductase	+
NC_000911.1	CDS	264190	264477	SGL_RS03100	ssr3000	DUF2288 domain-containing protein	+
NC_000911.1	CDS	264516	265316	SGL_RS03105	sll1667	tetratricopeptide repeat protein	-
NC_000911.1	CDS	265414	265938	SGL_RS03110	sll1666	J domain-containing protein	-
NC_000911.1	CDS	265995	266600	SGL_RS03115	slr1796	thylakoid membrane protein	+
NC_000911.1	CDS	266702	268471	SGL_RS03120	sll1665	hypothetical protein	-
NC_000911.1	CDS	268789	269727	SGL_RS03125	sll1664	hypothetical protein	-
NC_000911.1	CDS	269773	270435	SGL_RS03130	sll1663	HEAT repeat domain-containing protein	-
NC_000911.1	CDS	270476	271369	SGL_RS03135	sll1662	prephenate dehydratase	-
NC_000911.1	tRNA	271431	271502	SGL_RS03140	ST6803t03	tRNA-Thr	+
NC_000911.1	CDS	271600	273357	SGL_RS03145	slr1798	diguanylate cyclase	+
NC_000911.1	pseudoCDS	273381	273761	SGL_RS03150	SGL_RS03150	hypothetical protein	-
NC_000911.1	CDS	273802	274386	SGL_RS03155	sll1660	bifunctional (p)ppGpp	-
NC_000911.1	CDS	274502	275680	SGL_RS03160	sll1659	FO synthase subunit 2	-
NC_000911.1	CDS	275807	276283	SGL_RS03165	sll1658	glyoxalase/bleomycin resistance/dioxygenase	-
NC_000911.1	CDS	276429	278342	SGL_RS03170	slr1799	hypothetical protein	+
NC_000911.1	CDS	278494	279561	SGL_RS03175	slr1800	hypothetical protein	+
NC_000911.1	CDS	279512	280087	SGL_RS03180	sll1656	DUF3611 domain-containing protein	-
NC_000911.1	CDS	280127	280951	SGL_RS03185	sll1655	biotin--[acetyl-CoA-carboxylase] ligase	-
NC_000911.1	CDS	280970	281380	SGL_RS03190	sll1654	universal stress protein	-
NC_000911.1	CDS	281507	282223	SGL_RS03195	sll1653	2-phytyl-1,4-naphtoquinone methyltransferase	-
NC_000911.1	CDS	282290	282700	SGL_RS18660	SGL_RS18660	hypothetical protein	-
NC_000911.1	CDS	282510	282821	SGL_RS18405	SGL_RS18405	hypothetical protein	-
NC_000911.1	CDS	283060	284487	SGL_RS03210	slr1289	NADP-dependent isocitrate dehydrogenase	+
NC_000911.1	CDS	284508	285080	SGL_RS03215	slr1290	Uma2 family endonuclease	+
NC_000911.1	CDS	285144	285938	SGL_RS03220	sll1201	hypothetical protein	-
NC_000911.1	CDS	286164	287843	SGL_RS03225	slr1291	NAD(P)H-quinone oxidoreductase chain 4-2	+
NC_000911.1	CDS	287929	289104	SGL_RS03230	sll1200	MFS transporter	-
NC_000911.1	CDS	289322	290845	SGL_RS03235	slr1293	C-3',4' desaturase CrtD	+
NC_000911.1	CDS	290902	291174	SGL_RS03240	ssr2142	YggT family protein	+
NC_000911.1	CDS	291626	292708	SGL_RS03245	slr1295	iron uptake protein A1	+
NC_000911.1	CDS	292790	293485	SGL_RS03250	sll1198	tRNA (guanosine(37)-N1)-methyltransferase TrmD	-
NC_000911.1	CDS	293878	294963	SGL_RS03255	sll1196	ATP-dependent 6-phosphofructokinase	-
NC_000911.1	CDS	295076	297343	SGL_RS03260	slr1298	FUSC family protein	+
NC_000911.1	CDS	297493	297888	SGL_RS03265	sll1194	photosystem II extrinsic protein	-
NC_000911.1	CDS	298083	298580	SGL_RS03270	sll1193	HNH endonuclease	-
NC_000911.1	CDS	299522	300883	SGL_RS03275	slr1299	UDP-glucose/GDP-mannose dehydrogenase family	+
NC_000911.1	CDS	301110	302354	SGL_RS03280	slr1300	2-octaprenyl-6-methoxyphenyl hydroxylase	+
NC_000911.1	CDS	302367	302789	SGL_RS03285	sll1192	fluoride efflux transporter CrcB	-
NC_000911.1	CDS	302786	303190	SGL_RS03290	sll1191	DUF1049 domain-containing protein	-
NC_000911.1	CDS	303424	303621	SGL_RS03295	ssr2153	hypothetical protein	+
NC_000911.1	CDS	303939	305546	SGL_RS03300	slr1301	hypothetical protein	+
NC_000911.1	CDS	305595	306824	SGL_RS03305	slr1302	CO2 hydration protein	+
NC_000911.1	CDS	306844	308076	SGL_RS03310	slr1303	ergothioneine biosynthesis protein EgtB	+
NC_000911.1	CDS	308114	309418	SGL_RS03315	sll1189	FAD-binding oxidoreductase	-
NC_000911.1	CDS	309649	312171	SGL_RS03320	slr1305	two-component system response regulator	+
NC_000911.1	CDS	312258	313715	SGL_RS03325	slr1306	DUF697 domain-containing protein	+
NC_000911.1	CDS	313705	314199	SGL_RS03330	sll1188	hypothetical protein	-
NC_000911.1	CDS	314255	315106	SGL_RS03335	sll1187	prolipoprotein diacylglyceryl transferase	-
