Type	Start	End	Locus_tag	Old_locus_tag	Product	Strand
CDS	42405	43397	SGL_RS02030	slr1491	iron-siderophore ABC transporter	+
CDS	43571	44506	SGL_RS02035	slr1492	iron-siderophore ABC transporter	+
CDS	44442	44885	SGL_RS02040	slr1493	DUF1636 domain-containing protein	+
CDS	44948	46789	SGL_RS02045	slr1494	ABC transporter ATP-binding protein	+
CDS	47007	48017	SGL_RS02050	sll1401	hypothetical protein	-
CDS	48067	48408	SGL_RS02055	sll1400	hypothetical protein	-
CDS	48405	48635	SGL_RS02060	ssl2733	DUF433 domain-containing protein	-
CDS	48663	49868	SGL_RS02065	sll1399	DUF4336 domain-containing protein	-
CDS	49893	50231	SGL_RS02070	sll1398	photosystem II reaction center protein Psb28	-
CDS	50246	51895	SGL_RS02075	slr1495	ATP-dependent DNA helicase	+
CDS	52023	52364	SGL_RS18630	SGL_RS18630	hypothetical protein	+
CDS	52260	53108	SGL_RS18635	SGL_RS18635	IS630 family transposase	-
CDS	53453	54127	SGL_RS02085	sll1396	hypothetical protein	-
CDS	54533	55657	SGL_RS02090	slr1498	hydrogenase formation protein HypD	+
CDS	55669	56550	SGL_RS02095	sll1395	dTDP-4-dehydrorhamnose reductase	-
CDS	56556	57224	SGL_RS02100	sll1394	peptide-methionine (S)-S-oxide reductase	-
CDS	57340	58815	SGL_RS02105	sll1393	glycogen synthase	-
CDS	59039	59650	SGL_RS02110	sll1392	TetR/AcrR family transcriptional regulator	-
CDS	59746	60423	SGL_RS02115	slr1501	GNAT family N-acetyltransferase	+
CDS	60524	61522	SGL_RS02120	slr1113	ABC transporter ATP-binding protein	+
CDS	61834	63591	SGL_RS02125	slr1114	hypothetical protein	+
CDS	63588	64361	SGL_RS02130	slr1115	class I SAM-dependent methyltransferase	+
CDS	64393	64914	SGL_RS02135	slr1116	damage-inducible protein DinB	+
CDS	64987	65748	SGL_RS02140	slr1117	class I SAM-dependent methyltransferase	+
CDS	65827	67533	SGL_RS02145	sll1064	metallophosphoesterase	-
CDS	67606	68361	SGL_RS02150	slr1118	glycosyltransferase	+
CDS	68400	69059	SGL_RS02155	sll1063	tRNA	-
CDS	69284	69985	SGL_RS02160	slr1119	hypothetical protein	+
CDS	70016	70393	SGL_RS02165	sll1062	hypothetical protein	-
CDS	70420	70935	SGL_RS02170	sll1061	hypothetical protein	-
CDS	70944	74042	SGL_RS02175	sll1060	hypothetical protein	-
CDS	73978	74229	SGL_RS02180	ssl2069	hypothetical protein	-
CDS	74498	74785	SGL_RS02185	ssr1853	PepSY domain-containing protein	+
CDS	74995	75804	SGL_RS02190	slr1120	type 4 prepilin-like proteins leader	+
CDS	75955	76500	SGL_RS02195	sll1059	adenylate kinase	-
CDS	76580	77407	SGL_RS02200	sll1058	4-hydroxy-tetrahydrodipicolinate reductase	-
CDS	77494	77874	SGL_RS02205	sll1057	thioredoxin	-
CDS	77980	78246	SGL_RS02210	SGL_RS02210	DUF2442 domain-containing protein	-
CDS	78206	78445	SGL_RS02215	SGL_RS02215	DUF4160 domain-containing protein	-
CDS	78467	80773	SGL_RS02220	sll1056	phosphoribosylformylglycinamidine synthase	-
CDS	80938	81690	SGL_RS02225	slr1122	hypothetical protein	+
CDS	81696	82259	SGL_RS02230	sll1054	NUDIX hydrolase	-
CDS	82291	83853	SGL_RS02235	sll1053	efflux RND transporter periplasmic adaptor	-
CDS	84122	84697	SGL_RS02240	slr1123	guanylate kinase	+
CDS	84776	86107	SGL_RS02245	slr1124	histidine phosphatase family protein	+
CDS	86159	87418	SGL_RS02250	slr1125	glycosyl transferase family 1	+
CDS	87536	87910	SGL_RS02255	sll1052	sulfite exporter TauE/SafE family protein	-
CDS	88017	88661	SGL_RS02260	sll1051	phycocyanobilin lyase	-
CDS	88818	90512	SGL_RS02265	sll1049	transglutaminase family protein	-
CDS	90620	91411	SGL_RS02270	slr1127	hypothetical protein	+
CDS	91517	92482	SGL_RS02275	slr1128	SPFH/Band 7/PHB domain protein	+
CDS	93128	95152	SGL_RS02280	slr1129	ribonuclease E/G-like protein	+
CDS	95236	95808	SGL_RS02285	slr1130	ribonuclease HII	+
CDS	95818	96228	SGL_RS02290	sll1045	8-oxo-dGTP diphosphatase MutT	-
CDS	96325	98481	SGL_RS02295	sll1043	polyribonucleotide nucleotidyltransferase	-
CDS	98609	99199	SGL_RS02300	sll0716	S26 family signal peptidase	-
CDS	99402	100793	SGL_RS02305	slr0721	NAD-dependent malic enzyme	+
CDS	100794	101771	SGL_RS02310	sll0712	cysteine synthase A	-
CDS	101884	102831	SGL_RS02315	sll0711	4-diphosphocytidyl-2C-methyl-D-erythritol	-
CDS	102930	105110	SGL_RS02320	sll0710	hypothetical protein	-
CDS	105151	106539	SGL_RS02325	sll0709	restriction endonuclease LlaI	-
pseudoCDS	106858	107208	SGL_RS18640	SGL_RS18640	IS5/IS1182 family transposase	+
CDS	107471	108325	SGL_RS02330	sll0708	ribosomal RNA small subunit methyltransferase A	-
CDS	108290	109201	SGL_RS02335	slr0722	ribosomal RNA small subunit methyltransferase E	+
CDS	109222	110313	SGL_RS02340	slr0723	hypothetical protein	+
CDS	110392	110724	SGL_RS02345	slr0724	type II toxin-antitoxin system PrlF family	+
CDS	110766	111224	SGL_RS02350	slr0725	type II toxin-antitoxin system YhaV family	+
CDS	111585	112559	SGL_RS02355	slr0727	hypothetical protein	+
CDS	113025	114188	SGL_RS02360	slr0728	hypothetical protein	+
CDS	114319	114624	SGL_RS02365	slr0729	thylakoid membrane protein	+
CDS	114874	115272	SGL_RS02370	slr0730	DUF3119 domain-containing protein	+
CDS	115269	116477	SGL_RS02375	slr0731	DUF3086 domain-containing protein	+
CDS	116518	117693	SGL_RS02380	sll0704	cysteine desulfurase	-
CDS	117869	118336	SGL_RS02385	slr0732	hypothetical protein	+
CDS	118333	119532	SGL_RS02390	sll0703	NAD(P)/FAD-dependent oxidoreductase	-
CDS	119570	119962	SGL_RS02395	sll0702	hypothetical protein	-
CDS	120298	120537	SGL_RS02400	slr1006	hypothetical protein	-
CDS	120719	121660	SGL_RS02405	slr0733	tyrosine recombinase XerC	+
CDS	121706	121990	SGL_RS02410	ssl1326	CopG family transcriptional regulator	-
CDS	122287	123405	SGL_RS02415	slr0734	FAD-dependent oxidoreductase	+
pseudoCDS	123501	124348	SGL_RS18645	SGL_RS18645	IS630 family transposase	-
CDS	124452	126443	SGL_RS02430	sll0698	PAS domain-containing sensor histidine kinase	-
CDS	126639	127064	SGL_RS02435	slr0737	photosystem I reaction center subunit II	+
CDS	127186	128712	SGL_RS02440	slr0738	anthranilate synthase component I	+
CDS	128802	129710	SGL_RS02445	slr0739	polyprenyl synthetase family protein	+
CDS	129791	130186	SGL_RS02450	slr0740	hypothetical protein	+
CDS	130167	131039	SGL_RS02455	sll0696	CPBP family intramembrane metalloprotease	-
CDS	131116	131790	SGL_RS02460	slr0741	phosphate-specific transport system accessory	+
CDS	131877	132407	SGL_RS02465	slr0742	ribosome maturation factor RimP	+
CDS	132483	133859	SGL_RS02470	slr0743	transcription termination factor NusA	+
CDS	133923	134177	SGL_RS02475	slr0743a	DUF448 domain-containing protein	+
CDS	134437	137442	SGL_RS02480	slr0744	translation initiation factor IF-2	+
CDS	137444	138112	SGL_RS02485	slr0236	glutathione S-transferase family protein	+
CDS	138295	140535	SGL_RS02490	slr0237	glycogen debranching enzyme GlgX	+
CDS	140585	141007	SGL_RS02495	slr0238	hypothetical protein	+
pseudoCDS	141123	141428	SGL_RS02500	ssl0426	IS630 family transposase	-
CDS	141648	142442	SGL_RS02505	slr0239	precorrin-4 C(11)-methyltransferase	+
CDS	142559	142981	SGL_RS02510	slr0240	hypothetical protein	+
CDS	142981	143826	SGL_RS02515	slr0241	hypothetical protein	+
CDS	144061	144543	SGL_RS02520	slr0242	thioredoxin-dependent thiol peroxidase	+
CDS	144554	145081	SGL_RS02525	slr0243	hypothetical protein	+
CDS	145164	145529	SGL_RS02530	sll0230	hypothetical protein	-
CDS	145538	145762	SGL_RS02535	SGL_RS02535	hypothetical protein	-
CDS	145761	146615	SGL_RS02540	slr0244	universal stress protein	+
CDS	146724	146831	SGL_RS18650	SGL_RS18650	photosystem II reaction center protein M	-
CDS	146980	147894	SGL_RS02545	slr0245	histone deacetylase	+
CDS	148022	148942	SGL_RS02550	sll0228	agmatinase	-
CDS	148943	149683	SGL_RS02555	sll0227	peptidyl-prolyl cis-trans isomerase	-
CDS	149889	150455	SGL_RS02560	sll0226	photosystem I assembly protein Ycf4	-
CDS	150594	152132	SGL_RS02565	sll0225	hypothetical protein	-
CDS	152154	153050	SGL_RS02570	sll0224	amino acid ABC transporter substrate-binding	-
ncRNA	153167	153599	SGL_RS18395	SGL_RS18395	RNase P RNA component class A	+
CDS	153622	153996	SGL_RS02580	slr0249	DUF1818 domain-containing protein	+
CDS	154143	154679	SGL_RS02585	slr0250	hypothetical protein	+
CDS	154733	155461	SGL_RS02590	slr0251	LPS export ABC transporter ATP-binding protein	+
CDS	155473	156258	SGL_RS02595	slr0252	precorrin-6A reductase	+
CDS	156391	156651	SGL_RS02600	ssr0390	photosystem I reaction center subunit PsaK 1	+
CDS	156741	157013	SGL_RS02605	ssl0410	hypothetical protein	-
CDS	157050	158615	SGL_RS02610	sll0223	NAD(P)H-quinone oxidoreductase subunit 2	-
CDS	158757	159737	SGL_RS02615	sll0222	alkaline phosphatase	-
CDS	160004	160093	SGL_RS18655	SGL_RS18655	Cytochrome b6-f complex subunit 8	-
CDS	160258	161058	SGL_RS02620	slr0254	RDD family protein	+
CDS	161088	161642	SGL_RS02625	sll0221	peroxiredoxin	-
CDS	161768	163663	SGL_RS02630	sll0220	glutamine--fructose-6-phosphate	-
CDS	164037	165821	SGL_RS02635	sll0219	flavin oxidoreductase	-
CDS	165871	166389	SGL_RS02640	sll0218	hypothetical protein	-
CDS	166416	168152	SGL_RS02645	sll0217	diflavin flavoprotein A	-
CDS	168289	168486	SGL_RS02650	SGL_RS02650	hypothetical protein	-
CDS	168533	169921	SGL_RS02655	slr0257	S41 family peptidase	+
CDS	169934	170566	SGL_RS02660	sll0216	threonylcarbamoyl-AMP synthase	-
CDS	170572	171840	SGL_RS02665	slr1411	TIGR00299 family protein	+
CDS	171939	172883	SGL_RS02670	sll1327	ATP synthase subunit gamma	-
CDS	173014	174525	SGL_RS02675	sll1326	ATP synthase subunit alpha	-
CDS	174586	175143	SGL_RS02680	sll1325	ATP synthase subunit delta	-
CDS	175143	175682	SGL_RS02685	sll1324	ATP synthase subunit B	-
CDS	175708	176139	SGL_RS02690	sll1323	ATP synthase subunit b'	-
CDS	176256	176501	SGL_RS02695	ssl2615	ATP synthase subunit C	-
CDS	176693	177445	SGL_RS02700	sll1322	F0F1 ATP synthase subunit A	-
CDS	177592	178038	SGL_RS02705	sll1321	ATP synthase subunit I	-
CDS	178237	179682	SGL_RS02710	slr1413	hypothetical protein	+
CDS	179734	181047	SGL_RS02715	slr1414	sensor histidine kinase	+
CDS	181073	182221	SGL_RS02720	slr1415	DUF4350 domain-containing protein	+
CDS	182354	183298	SGL_RS02725	slr1416	MoxR family ATPase	+
CDS	183493	183849	SGL_RS02730	slr1417	iron-sulfur cluster assembly accessory protein	+
CDS	183935	184924	SGL_RS02735	sll1319	EamA family transporter	-
CDS	184968	185636	SGL_RS02740	sll1318	hypothetical protein	-
CDS	185772	186554	SGL_RS02745	sll1041	ABC transporter ATP-binding protein	-
CDS	186601	188898	SGL_RS02750	sll1040	mechanosensitive ion channel family protein	-
CDS	189128	189715	SGL_RS02755	slr1093	2-amino-4-hydroxy-6-	+
tRNA	189880	189953	SGL_RS02760	ST6803t01	tRNA-Pro	-
CDS	190033	190818	SGL_RS02765	slr1094	DUF429 domain-containing protein	+
CDS	190815	191954	SGL_RS02770	sll1039	alpha-E domain-containing protein	-
CDS	192136	192783	SGL_RS02775	slr1095	hypothetical protein	+
CDS	192882	194306	SGL_RS02780	slr1096	dihydrolipoyl dehydrogenase	+
CDS	194310	194801	SGL_RS02785	slr1097	DUF1817 domain-containing protein	+
CDS	194877	195617	SGL_RS02790	slr1098	HEAT repeat-containing protein	+
CDS	195685	196305	SGL_RS02795	slr1099	aromatic acid decarboxylase	+
CDS	196611	196991	SGL_RS02800	slr1100	hypothetical protein	+
CDS	197072	197557	SGL_RS02805	slr1101	universal stress protein	+
CDS	197624	200185	SGL_RS02810	slr1102	hypothetical protein	+
CDS	200405	202525	SGL_RS02815	slr1103	diguanylate cyclase	+
CDS	202554	204395	SGL_RS02820	slr1104	hypothetical protein	+
CDS	204604	206397	SGL_RS02825	slr1105	translational GTPase TypA	+
CDS	206650	206853	SGL_RS02830	SGL_RS02830	hypothetical protein	-
CDS	206863	208338	SGL_RS02835	sll1037	hypothetical protein	-
CDS	208549	209427	SGL_RS02840	sll1036	MBL fold metallo-hydrolase	-
CDS	209527	209826	SGL_RS02845	ssl2009	thylakoid membrane protein	-
CDS	209896	210546	SGL_RS02850	sll1035	uracil phosphoribosyltransferase	-
CDS	210781	211629	SGL_RS02855	slr1106	primosomal protein	+
CDS	211734	213068	SGL_RS02860	slr1107	hypothetical protein	+
CDS	213031	215037	SGL_RS02865	sll1033	serine/threonine phosphatase	-
CDS	215504	216229	SGL_RS02870	sll1032	hypothetical protein	-
CDS	216264	218273	SGL_RS02875	sll1031	carbon dioxide concentrating mechanism protein	-
CDS	218407	218709	SGL_RS02880	sll1030	carbon dioxide concentrating mechanism protein	-
CDS	218742	219077	SGL_RS02885	sll1028	carbon dioxide concentrating mechanism protein	-
CDS	219206	219517	SGL_RS02890	sll1029	carbon dioxide concentrating mechanism protein	-
CDS	219979	221463	SGL_RS02895	sll1027	glutamate synthase subunit beta	-
CDS	221742	223067	SGL_RS02900	slr1109	ankyrin repeat domain-containing protein	+
CDS	223018	223596	SGL_RS02905	slr1110	DUF1092 domain-containing protein	+
CDS	223673	224806	SGL_RS02910	slr1772	linear amide C-N hydrolase	+
CDS	224897	226363	SGL_RS02915	sll1686	hypothetical protein	-
CDS	227123	227899	SGL_RS02920	slr1773	DUF2092 domain-containing protein	+
CDS	227943	228812	SGL_RS02925	slr1774	hypothetical protein	+
CDS	228866	230566	SGL_RS02930	slr1776	SulP family inorganic anion transporter	+
CDS	230658	231839	SGL_RS02935	sll1685	CemA-like protein	-
CDS	232008	234038	SGL_RS02940	slr1777	magnesium-chelatase subunit ChlD	+
CDS	234120	234308	SGL_RS02945	SGL_RS02945	hypothetical protein	+
CDS	234305	234838	SGL_RS02950	slr1778	hypothetical protein	+
CDS	234905	236356	SGL_RS02955	sll1683	lysine decarboxylase	-
CDS	236356	237438	SGL_RS02960	sll1682	alanine dehydrogenase	-
CDS	237600	238325	SGL_RS02965	slr1779	pyridoxine 5'-phosphate synthase	+
CDS	238344	238745	SGL_RS02970	slr1780	Ycf54-like protein	+
CDS	238804	240327	SGL_RS02975	sll1681	hypothetical protein	-
CDS	240299	240829	SGL_RS02980	sll1680	peptide-methionine (R)-S-oxide reductase	-
CDS	240863	242047	SGL_RS02985	sll1679	serine protease	-
CDS	242399	243094	SGL_RS02990	slr1783	DNA-binding response regulator	+
CDS	243158	244144	SGL_RS02995	slr1784	gfo/Idh/MocA family oxidoreductase	+
CDS	244160	244708	SGL_RS03000	sll1678	spore maturation protein	-
CDS	244783	245436	SGL_RS03005	sll1677	spore maturation protein	-
CDS	245502	247019	SGL_RS03010	sll1676	4-alpha-glucanotransferase	-
CDS	247117	247569	SGL_RS03015	sll1675	VOC family protein	-
CDS	247619	248713	SGL_RS03020	slr1787	thiamine-phosphate kinase	+
CDS	249062	250117	SGL_RS03025	slr1788	hypothetical protein	+
CDS	250160	251641	SGL_RS03030	slr1789	hypothetical protein	+
CDS	251758	253116	SGL_RS03035	sll1673	diguanylate cyclase	-
CDS	253125	255629	SGL_RS03040	sll1672	sensor histidine kinase	-
CDS	255823	256305	SGL_RS03045	sll1671	GNAT family N-acetyltransferase	-
CDS	256463	256699	SGL_RS03050	SGL_RS03050	hypothetical protein	-
CDS	256698	257279	SGL_RS03055	slr1790	protoporphyrinogen oxidase HemJ	+
CDS	257426	258175	SGL_RS03060	slr1791	phosphoadenosine phosphosulfate reductase	+
CDS	258227	259363	SGL_RS03065	sll1670	HrcA family transcriptional regulator	-
tRNA	259560	259644	SGL_RS03070	ST6803t02	tRNA-Ser	-
CDS	259702	260271	SGL_RS03075	sll1669	shikimate kinase	-
CDS	260463	261638	SGL_RS03080	slr1793	transaldolase	+
CDS	261863	262060	SGL_RS03085	ssr2998	DUF2862 domain-containing protein	+
CDS	262177	263265	SGL_RS03090	slr1794	arsenic-transporting ATPase	+
CDS	263321	263965	SGL_RS03095	slr1795	peptide-methionine (S)-S-oxide reductase	+
CDS	264190	264477	SGL_RS03100	ssr3000	DUF2288 domain-containing protein	+
CDS	264516	265316	SGL_RS03105	sll1667	mitochondrial outer membrane 72K protein	-
CDS	265414	265938	SGL_RS03110	sll1666	molecular chaperone DnaJ	-
CDS	265995	266600	SGL_RS03115	slr1796	thylakoid membrane protein	+
CDS	266702	268471	SGL_RS03120	sll1665	hypothetical protein	-
CDS	268789	269727	SGL_RS03125	sll1664	hypothetical protein	-
CDS	269773	270435	SGL_RS03130	sll1663	hypothetical protein	-
CDS	270476	271369	SGL_RS03135	sll1662	prephenate dehydratase	-
tRNA	271431	271502	SGL_RS03140	ST6803t03	tRNA-Thr	+
CDS	271600	273357	SGL_RS03145	slr1798	diguanylate cyclase	+
pseudoCDS	273381	273761	SGL_RS03150	SGL_RS03150	hypothetical protein	-
CDS	273802	274386	SGL_RS03155	sll1660	bifunctional (p)ppGpp	-
CDS	274502	275680	SGL_RS03160	sll1659	FO synthase subunit 2	-
CDS	275807	276283	SGL_RS03165	sll1658	glyoxalase/bleomycin resistance/dioxygenase	-
CDS	276429	278342	SGL_RS03170	slr1799	hypothetical protein	+
CDS	278494	279561	SGL_RS03175	slr1800	hypothetical protein	+
CDS	279512	280087	SGL_RS03180	sll1656	DUF3611 domain-containing protein	-
CDS	280127	280951	SGL_RS03185	sll1655	biotin--[acetyl-CoA-carboxylase] ligase	-
CDS	280970	281380	SGL_RS03190	sll1654	universal stress protein	-
CDS	281507	282223	SGL_RS03195	sll1653	2-phytyl-1,4-naphtoquinone methyltransferase	-
CDS	282290	282700	SGL_RS18660	SGL_RS18660	hypothetical protein	-
CDS	282510	282821	SGL_RS18405	SGL_RS18405	hypothetical protein	-
CDS	283060	284487	SGL_RS03210	slr1289	isocitrate dehydrogenase (NADP(+))	+
CDS	284508	285080	SGL_RS03215	slr1290	Uma2 family endonuclease	+
CDS	285144	285938	SGL_RS03220	sll1201	hypothetical protein	-
CDS	286164	287843	SGL_RS03225	slr1291	NAD(P)H-quinone oxidoreductase chain 4-2	+
CDS	287929	289104	SGL_RS03230	sll1200	MFS transporter	-
CDS	289322	290845	SGL_RS03235	slr1293	C-3',4' desaturase CrtD	+
CDS	290902	291174	SGL_RS03240	ssr2142	YggT family protein	+
CDS	291626	292708	SGL_RS03245	slr1295	iron uptake protein A1	+
CDS	292790	293485	SGL_RS03250	sll1198	tRNA (guanosine(37)-N1)-methyltransferase TrmD	-
CDS	293878	294963	SGL_RS03255	sll1196	ATP-dependent 6-phosphofructokinase	-
CDS	295076	297343	SGL_RS03260	slr1298	FUSC family protein	+
CDS	297493	297888	SGL_RS03265	sll1194	photosystem II extrinsic protein	-
CDS	298083	298580	SGL_RS03270	sll1193	HNH endonuclease	-
CDS	299522	300883	SGL_RS03275	slr1299	UDP-glucose/GDP-mannose dehydrogenase family	+
CDS	301110	302354	SGL_RS03280	slr1300	2-octaprenyl-6-methoxyphenyl hydroxylase	+
CDS	302367	302789	SGL_RS03285	sll1192	fluoride efflux transporter CrcB	-
CDS	302786	303190	SGL_RS03290	sll1191	DUF1049 domain-containing protein	-
CDS	303424	303621	SGL_RS03295	ssr2153	hypothetical protein	+
CDS	303939	305546	SGL_RS03300	slr1301	hypothetical protein	+
CDS	305595	306824	SGL_RS03305	slr1302	CO2 hydration protein	+
CDS	306844	308076	SGL_RS03310	slr1303	ergothioneine biosynthesis protein EgtB	+
CDS	308114	309418	SGL_RS03315	sll1189	FAD-binding oxidoreductase	-
CDS	309649	312171	SGL_RS03320	slr1305	two-component system response regulator	+
CDS	312258	313715	SGL_RS03325	slr1306	DUF697 domain-containing protein	+
CDS	313705	314199	SGL_RS03330	sll1188	hypothetical protein	-
CDS	314255	315106	SGL_RS03335	sll1187	prolipoprotein diacylglyceryl transferase	-
CDS	315134	315784	SGL_RS03340	sll1186	Uma2 family endonuclease	-
CDS	315882	316904	SGL_RS03345	sll1185	coproporphyrinogen III oxidase	-
CDS	317127	317849	SGL_RS03350	sll1184	Heme oxygenase 1	-
CDS	317984	318571	SGL_RS03355	slr1307	hypothetical protein	+
CDS	318661	318897	SGL_RS03360	ssr1604	50S ribosomal protein L28	+
CDS	319096	320529	SGL_RS03365	slr0962	hypothetical protein	+
tRNA	320582	320655	SGL_RS03370	ST6803t04	tRNA-Pro	+
CDS	320785	321447	SGL_RS03375	sll0943	hypothetical protein	-
CDS	321699	323606	SGL_RS03380	slr0963	sulfite reductase	+
CDS	323805	324731	SGL_RS03385	slr0964	FTR1 family protein	+
CDS	324831	326006	SGL_RS03390	slr0965	DNA polymerase III subunit beta	+
CDS	326150	326944	SGL_RS03395	slr0966	tryptophan synthase subunit alpha	+
CDS	327100	327552	SGL_RS03400	slr0967	pentapeptide repeat-containing protein	+
CDS	327604	327981	SGL_RS03405	sll0939	DUF1622 domain-containing protein	-
CDS	328006	329181	SGL_RS03410	sll0938	pyridoxal phosphate-dependent aminotransferase	-
CDS	329222	329521	SGL_RS03415	ssl1792	SH3 domain-containing protein	-
CDS	329555	331060	SGL_RS03420	sll0936	UbiD family decarboxylase	-
CDS	331144	333027	SGL_RS03425	slr0969	precorrin-3B C(17)-methyltransferase	+
CDS	333130	334485	SGL_RS03430	slr0971	DUF4335 domain-containing protein	+
CDS	334568	335623	SGL_RS03435	sll0934	3-deoxy-7-phosphoheptulonate synthase	-
CDS	335819	336295	SGL_RS03440	sll0933	DUF3464 domain-containing protein	-
CDS	336313	336582	SGL_RS03445	ssl1784	30S ribosomal protein S15	-
CDS	336747	337760	SGL_RS03450	sll0932	permease	-
CDS	337861	338331	SGL_RS03455	sll0931	hypothetical protein	-
CDS	338503	339096	SGL_RS03460	sll0930	hypothetical protein	-
CDS	339140	339625	SGL_RS03465	sll0928	allophycocyanin subunit alpha-B	-
CDS	339737	340999	SGL_RS03470	sll0927	methionine adenosyltransferase	-
CDS	341135	342139	SGL_RS03475	sll0926	tRNA dihydrouridine(20/20a) synthase DusA	-
CDS	342151	342759	SGL_RS03480	sll0925	Uma2 family endonuclease	-
CDS	343026	343559	SGL_RS03485	slr0974	translation initiation factor IF-3	+
CDS	343863	344720	SGL_RS03490	slr0975	hypothetical protein	+
CDS	344744	345298	SGL_RS03495	sll0924	hypothetical protein	-
tRNA	345398	345470	SGL_RS03500	ST6803t05	tRNA-Val	+
CDS	345536	347806	SGL_RS03505	sll0923	multidrug MFS transporter	-
CDS	348384	348734	SGL_RS03510	sll0922	hypothetical protein	-
CDS	348701	349429	SGL_RS03515	slr0976	hypothetical protein	+
CDS	349468	350298	SGL_RS03520	slr0977	ABC transporter permease	+
CDS	350509	350916	SGL_RS03525	slr0978	hypothetical protein	+
CDS	351036	351467	SGL_RS03530	slr0980	DUF29 domain-containing protein	+
CDS	351538	352101	SGL_RS03535	slr0981	Uma2 family endonuclease	+
CDS	352263	353555	SGL_RS03540	slr0982	ABC transporter ATP-binding protein	+
CDS	353552	354322	SGL_RS03545	slr0983	glucose-1-phosphate cytidylyltransferase	+
CDS	354323	355405	SGL_RS03550	slr0984	CDP-glucose 4,6-dehydratase	+
CDS	355424	355993	SGL_RS03555	slr0985	dTDP-4-keto-6-deoxy-D-glucose epimerase	+
CDS	355909	357210	SGL_RS03560	slr1610	class I SAM-dependent methyltransferase	+
CDS	357245	357697	SGL_RS03565	slr1611	DUF29 domain-containing protein	+
CDS	357748	358608	SGL_RS03570	slr1612	hypothetical protein	+
CDS	358760	359350	SGL_RS03575	slr1613	Uma2 family endonuclease	+
pseudoCDS	359406	359663	SGL_RS18665	SGL_RS18665	transcriptional regulator	+
CDS	359668	359973	SGL_RS03580	slr1614	DUF2442 domain-containing protein	+
CDS	360030	361166	SGL_RS03585	slr1615	glutamine--scyllo-inositol aminotransferase	+
CDS	361163	362188	SGL_RS03590	slr1616	carbamoyl phosphate synthase large subunit	+
CDS	362185	363420	SGL_RS03595	slr1617	NAD(P)-dependent oxidoreductase	+
CDS	363433	364218	SGL_RS03600	slr1618	class I SAM-dependent methyltransferase	+
CDS	364247	364996	SGL_RS03605	slr1619	cephalosporin hydroxylase	+
CDS	365077	365283	SGL_RS03610	SGL_RS03610	hypothetical protein	+
CDS	365274	365621	SGL_RS03615	slr1062	type II toxin-antitoxin system PemK/MazF family	+
CDS	365716	367785	SGL_RS03620	slr1063	hypothetical protein	+
CDS	367807	368910	SGL_RS03625	slr1064	glycosyltransferase family 1 protein	+
CDS	369149	370219	SGL_RS03630	slr1065	glycosyltransferase	+
CDS	370285	371490	SGL_RS03635	slr1066	glycosyltransferase family 1 protein	+
CDS	371487	372509	SGL_RS03640	slr1067	UDP-glucose 4-epimerase GalE	+
